Table 1
NAV calculation date;NAV;Reinvestment factor;"NAV (adjusted if ""distr."")";Dividend;Fund size (class);Fund size (compartment)
27.06.2024;367,91;;367,91;;1,922B;11251092734,88
26.06.2024;368,06;;368,06;;1,924B;11260153590,14
25.06.2024;368,36;;368,36;;1,926B;11276695827,99
24.06.2024;368,73;;368,73;;1,928B;11294091516,46
21.06.2024;367,54;;367,54;;1,923B;11282710039,16
20.06.2024;367,90;;367,90;;1,928B;11319989730,82
18.06.2024;366,41;;366,41;;1,921B;11279740318,61
17.06.2024;364,29;;364,29;;1,912B;11218228488,71
14.06.2024;366,79;;366,79;;1,926B;11299659096,8
13.06.2024;365,92;;365,92;;1,922B;11288686123,65
12.06.2024;367,29;;367,29;;1,93B;11337765675,38
11.06.2024;362,94;;362,94;;1,908B;11202680205,74
10.06.2024;362,50;;362,50;;1,981B;11274010492,4
07.06.2024;361,96;;361,96;;1,978B;11266465663,92
06.06.2024;361,72;;361,72;;1,977B;11265195305,37
05.06.2024;358,15;;358,15;;1,957B;11157086810,21
04.06.2024;357,47;;357,47;;1,954B;11141613044,98
03.06.2024;359,64;;359,64;;1,965B;11207075245,4
31.05.2024;357,43;;357,43;;1,953B;11143004150,61
30.05.2024;358,39;;358,39;;1,959B;11177695661,44
29.05.2024;359,37;;359,37;;1,964B;11214163614,58
28.05.2024;363,10;;363,10;;1,985B;11342837737,68
24.05.2024;363,47;;363,47;;1,987B;11356810183,33
23.05.2024;365,80;;365,80;;2,002B;11435936230,18
22.05.2024;367,92;;367,92;;2,013B;11507496879,32
21.05.2024;366,15;;366,15;;2,005B;11455096312,52
17.05.2024;366,69;;366,69;;2,008B;11476721479,96
16.05.2024;367,76;;367,76;;2,015B;11515914060,96
15.05.2024;367,03;;367,03;;2,011B;11496202255,34
14.05.2024;364,11;;364,11;;1,995B;11410288294,45
13.05.2024;364,23;;364,23;;1,996B;11417236119,7
10.05.2024;365,19;;365,19;;2,002B;11457803924,79
08.05.2024;362,69;;362,69;;1,988B;11381658124,25
07.05.2024;361,85;;361,85;;1,984B;11364134775,36
06.05.2024;359,89;;359,89;;2,002B;11331857821,91
03.05.2024;360,39;;360,39;;2,006B;11353097798,72
02.05.2024;354,33;;354,33;;1,972B;11157801229,45
30.04.2024;357,46;;357,46;;1,989B;11260800193,71
29.04.2024;357,61;;357,61;;1,991B;11270997869,13
26.04.2024;356,44;;356,44;;1,985B;11237731651,77
25.04.2024;349,71;;349,71;;1,953B;11034954618,78
24.04.2024;356,34;;356,34;;1,991B;11251076046,1
23.04.2024;352,80;;352,80;;1,972B;11152153037,44
22.04.2024;349,79;;349,79;;1,956B;11059977231,91
19.04.2024;350,02;;350,02;;1,958B;11076784263,47
18.04.2024;351,43;;351,43;;1,969B;11128893388,48
17.04.2024;354,82;;354,82;;1,989B;11246416292,15
16.04.2024;354,24;;354,24;;1,986B;11234506246,26
15.04.2024;362,25;;362,25;;2,031B;11497639984,37
12.04.2024;362,37;;362,37;;2,032B;11513191454,6
11.04.2024;361,77;;361,77;;2,032B;11513595071,66
10.04.2024;360,99;;360,99;;2,028B;11497301666,67
09.04.2024;361,86;;361,86;;2,034B;11542507152,87
08.04.2024;361,42;;361,42;;2,044B;11544475980,49
05.04.2024;361,34;;361,34;;2,044B;11546544489,73
04.04.2024;364,44;;364,44;;2,061B;11651750104,69
03.04.2024;362,81;;362,81;;2,052B;11607754286,18
02.04.2024;364,11;;364,11;;2,059B;11649795317,76
28.03.2024;370,48;;370,48;;2,096B;11863706962,21
27.03.2024;367,52;;367,52;;2,08B;11779155649,92
26.03.2024;367,31;;367,31;;2,08B;11783148194,1
25.03.2024;366,93;;366,93;;2,079B;11778213829,76
22.03.2024;367,43;;367,43;;2,082B;11800676534,98
21.03.2024;369,09;;369,09;;2,092B;11860517957,3
20.03.2024;362,74;;362,74;;2,057B;11663374299,93
19.03.2024;359,77;;359,77;;2,046B;11578644923,17
18.03.2024;361,25;;361,25;;2,055B;11634118096,68
15.03.2024;360,96;;360,96;;2,054B;11633707179,44
14.03.2024;361,50;;361,50;;2,057B;11663362107,21
13.03.2024;363,40;;363,40;;2,068B;11737075938,67
12.03.2024;363,50;;363,50;;2,07B;11745405800,63
11.03.2024;361,21;;361,21;;2,047B;11671341947,45
08.03.2024;365,81;;365,81;;2,074B;11831403407,24
07.03.2024;364,10;;364,10;;2,064B;11783152314,82
06.03.2024;362,11;;362,11;;2,054B;11723237849,62
05.03.2024;362,50;;362,50;;2,056B;11738822943,58
04.03.2024;365,36;;365,36;;2,074B;11840047937,98
01.03.2024;363,41;;363,41;;2,062B;11774306334,78
29.02.2024;362,40;;362,40;;2,056B;11749822827,89
28.02.2024;360,78;;360,78;;2,047B;11703471033,55
27.02.2024;361,79;;361,79;;2,053B;11745489805,92
26.02.2024;361,12;;361,12;;2,05B;11732939864,22
23.02.2024;360,90;;360,90;;2,05B;11731675817,38
22.02.2024;359,43;;359,43;;2,043B;11692901595,72
21.02.2024;353,50;;353,50;;2,009B;11503246421,89
20.02.2024;355,28;;355,28;;2,02B;11574087991,01
16.02.2024;358,88;;358,88;;2,041B;11693781603,99
15.02.2024;358,39;;358,39;;2,039B;11685886543,31
14.02.2024;356,33;;356,33;;2,028B;11627273314,15
13.02.2024;353,15;;353,15;;2,01B;11528562467,02
12.02.2024;357,99;;357,99;;2,059B;11720339663,8
09.02.2024;355,75;;355,75;;2,047B;11656225015,88
08.02.2024;354,20;;354,20;;2,039B;11616226782,45
07.02.2024;351,39;;351,39;;2,023B;11532412093,64
06.02.2024;350,93;;350,93;;2,021B;11519913696,01
05.02.2024;350,51;;350,51;;2,018B;11507869687,79
02.02.2024;347,78;;347,78;;2,002B;11430761607,27
01.02.2024;345,47;;345,47;;1,989B;11356890496,69
31.01.2024;346,05;;346,05;;1,994B;11389363323,86
30.01.2024;349,08;;349,08;;2,013B;11493290794,88
29.01.2024;347,24;;347,24;;2,003B;11439854626,98
26.01.2024;345,28;;345,28;;1,993B;11396928737,06
25.01.2024;344,94;;344,94;;1,991B;11392977537,62
24.01.2024;343,99;;343,99;;1,986B;11371403780,05
23.01.2024;343,77;;343,77;;1,985B;11368317438,19
22.01.2024;343,38;;343,38;;1,984B;11364317341,97
19.01.2024;338,37;;338,37;;1,955B;11202888926,49
18.01.2024;337,45;;337,45;;1,951B;11180450028,31
17.01.2024;334,83;;334,83;;1,936B;11101221701,14
16.01.2024;338,24;;338,24;;1,96B;11226898458,38
12.01.2024;339,44;;339,44;;1,967B;11282257844,43
11.01.2024;338,39;;338,39;;1,96B;11250729509,99
10.01.2024;338,02;;338,02;;1,959B;11243997749,8
09.01.2024;336,96;;336,96;;1,954B;11216811836,07
08.01.2024;334,01;;334,01;;1,941B;11124397336,64
05.01.2024;331,62;;331,62;;1,927B;11052139327,39
04.01.2024;332,15;;332,15;;1,931B;11073390552,65
03.01.2024;334,37;;334,37;;1,938B;11143732198,25
02.01.2024;339,02;;339,02;;1,965B;11301448639,16
29.12.2023;339,93;;339,93;;1,97B;11341960827,87
28.12.2023;339,62;;339,62;;1,969B;11338354459,54
27.12.2023;338,48;;338,48;;1,963B;11304782442,6
22.12.2023;337,88;;337,88;;1,96B;11270031652,22
21.12.2023;336,36;;336,36;;1,951B;11221650541,61
20.12.2023;338,00;;338,00;;1,961B;11276283392,09
19.12.2023;338,54;;338,54;;1,964B;11299869603,43
18.12.2023;336,94;;336,94;;1,956B;11247975137,02
15.12.2023;337,77;;337,77;;1,961B;11280756493,29
14.12.2023;336,74;;336,74;;1,956B;11257530992,1
13.12.2023;332,54;;332,54;;1,932B;11110173744,6
12.12.2023;330,81;;330,81;;1,923B;11057429227,62
11.12.2023;330,57;;330,57;;1,918B;11049504457,22
08.12.2023;329,02;;329,02;;1,91B;11004225156,43
07.12.2023;326,29;;326,29;;1,895B;10919378075,82
06.12.2023;327,06;;327,06;;1,9B;10948404577,38
05.12.2023;323,04;;323,04;;1,875B;10817204839
04.12.2023;324,24;;324,24;;1,884B;10862793064,51
01.12.2023;321,63;;321,63;;1,867B;10774452555,76
30.11.2023;319,00;;319,00;;1,852B;10692118500,8
29.11.2023;317,67;;317,67;;1,846B;10657075687,9
28.11.2023;313,46;;313,46;;1,822B;10527772953,17
27.11.2023;315,89;;315,89;;1,836B;10604513575,48
24.11.2023;315,97;;315,97;;1,839B;10624132940,85
22.11.2023;316,92;;316,92;;1,845B;10656330295,97
21.11.2023;313,50;;313,50;;1,826B;10551578001,45
20.11.2023;313,30;;313,30;;1,825B;10544882368,89
17.11.2023;313,67;;313,67;;1,828B;10563528583,48
16.11.2023;313,20;;313,20;;1,825B;10552834417,36
15.11.2023;315,38;;315,38;;1,837B;10630597058,34
14.11.2023;312,27;;312,27;;1,82B;10531018962,69
13.11.2023;306,89;;306,89;;1,79B;10345955322,9
10.11.2023;305,89;;305,89;;1,785B;10317043924,4
09.11.2023;307,94;;307,94;;1,798B;10395098248,58
08.11.2023;308,50;;308,50;;1,801B;10422945583,11
07.11.2023;307,38;;307,38;;1,796B;10388819163,48
06.11.2023;305,30;;305,30;;1,784B;10322012462,26
03.11.2023;306,00;;306,00;;1,788B;10345473828,9
02.11.2023;303,17;;303,17;;1,777B;10253429916,14
31.10.2023;295,44;;295,44;;1,735B;9995972189,73
30.10.2023;292,67;;292,67;;1,72B;9908751437,56
27.10.2023;294,29;;294,29;;1,731B;9984203029,31
26.10.2023;296,33;;296,33;;1,743B;10057152813,96
25.10.2023;296,45;;296,45;;1,744B;10070352359,52
24.10.2023;298,82;;298,82;;1,758B;10158962643,08
23.10.2023;297,11;;297,11;;1,748B;10104248720,93
20.10.2023;300,80;;300,80;;1,771B;10235020742,35
19.10.2023;305,02;;305,02;;1,796B;10383536951,6
18.10.2023;308,75;;308,75;;1,818B;10512053975,52
17.10.2023;310,26;;310,26;;1,828B;10560586590,59
16.10.2023;310,68;;310,68;;1,83B;10576452235,96
13.10.2023;311,88;;311,88;;1,838B;10613710362,51
12.10.2023;313,43;;313,43;;1,848B;10673399996,52
11.10.2023;312,63;;312,63;;1,844B;10655617446,14
10.10.2023;311,07;;311,07;;1,836B;10606687770,84
09.10.2023;308,24;;308,24;;1,787B;10480269565,63
06.10.2023;305,94;;305,94;;1,775B;10402862338,2
05.10.2023;307,15;;307,15;;1,782B;10451222593,57
04.10.2023;306,01;;306,01;;1,776B;10426608228,24
03.10.2023;309,33;;309,33;;1,796B;10543019323,14
02.10.2023;310,19;;310,19;;1,8B;10572971816,31
29.09.2023;313,57;;313,57;;1,821B;10710887052,25
28.09.2023;309,40;;309,40;;1,797B;10570891878,82
27.09.2023;310,83;;310,83;;1,806B;10623230622,83
26.09.2023;309,32;;309,32;;1,797B;10566541056,24
25.09.2023;310,20;;310,20;;1,803B;10606519747,9
22.09.2023;310,73;;310,73;;1,807B;10632937421,03
21.09.2023;312,30;;312,30;;1,816B;10674172470,31
20.09.2023;317,39;;317,39;;1,846B;10859517802,59
19.09.2023;315,80;;315,80;;1,84B;10811614764,91
18.09.2023;317,84;;317,84;;1,853B;10883679629,26
15.09.2023;320,80;;320,80;;1,87B;10990045654,04
14.09.2023;320,35;;320,35;;1,868B;10978183589,17
13.09.2023;318,19;;318,19;;1,855B;10912789922,07
12.09.2023;320,21;;320,21;;1,869B;10985676576,98
11.09.2023;319,31;;319,31;;1,867B;10960883191,93
08.09.2023;319,23;;319,23;;1,868B;10963938978,53
07.09.2023;319,28;;319,28;;1,872B;10970779896,36
06.09.2023;322,36;;322,36;;1,889B;11077046725,47
05.09.2023;322,47;;322,47;;1,889B;11085993980,12
01.09.2023;322,24;;322,24;;1,887B;11083070326,52
31.08.2023;322,01;;322,01;;1,884B;11079346254,47
30.08.2023;318,65;;318,65;;1,865B;10975854831,49
29.08.2023;316,73;;316,73;;1,854B;10904775696,07
28.08.2023;316,73;;316,73;;1,854B;10906949858,63
25.08.2023;313,56;;313,56;;1,834B;10801358899,36
24.08.2023;316,24;;316,24;;1,85B;10899656480,05
23.08.2023;313,90;;313,90;;1,837B;10822842331,63
22.08.2023;311,93;;311,93;;1,826B;10759359340,6
21.08.2023;310,58;;310,58;;1,819B;10716308526,2
18.08.2023;308,47;;308,47;;1,807B;10646204984,6
17.08.2023;312,08;;312,08;;1,828B;10774363061,21
16.08.2023;314,69;;314,69;;1,843B;10870290680,65
14.08.2023;316,46;;316,46;;1,853B;10932336098,23
11.08.2023;315,57;;315,57;;1,848B;10911159391,17
10.08.2023;318,69;;318,69;;1,866B;11028028596,21
09.08.2023;317,55;;317,55;;1,86B;10990566491,38
08.08.2023;317,34;;317,34;;1,859B;10983393467,44
07.08.2023;318,06;;318,06;;1,863B;11010914212,76
04.08.2023;317,87;;317,87;;1,862B;11010657776,65
03.08.2023;320,27;;320,27;;1,876B;11091363215,63
02.08.2023;323,27;;323,27;;1,888B;11216939900,67
01.08.2023;325,89;;325,89;;1,902B;11298243140,13
31.07.2023;326,04;;326,04;;1,903B;11311494820,68
28.07.2023;325,48;;325,48;;1,901B;11296161403,03
27.07.2023;327,65;;327,65;;1,914B;11375791326,52
26.07.2023;322,29;;322,29;;1,882B;11199677336,27
25.07.2023;324,69;;324,69;;1,897B;11286619385,88
24.07.2023;321,51;;321,51;;1,879B;11182586920,89
21.07.2023;321,39;;321,39;;1,878B;11206000615,13
20.07.2023;320,63;;320,63;;1,874B;11188675197,12
19.07.2023;322,56;;322,56;;1,886B;11262174786,31
18.07.2023;319,88;;319,88;;1,87B;11174929297,62
17.07.2023;319,42;;319,42;;1,868B;11162464016,49
14.07.2023;319,25;;319,25;;1,867B;11166730409,61
13.07.2023;319,86;;319,86;;1,871B;11194441217,19
12.07.2023;319,28;;319,28;;1,868B;11175712846,81
11.07.2023;317,97;;317,97;;1,861B;11127418710,79
10.07.2023;316,14;;316,14;;1,849B;11066318863,86
07.07.2023;316,04;;316,04;;1,849B;11066538197,24
06.07.2023;315,75;;315,75;;1,848B;11054758225,49
05.07.2023;320,22;;320,22;;1,874B;11215161222,1
03.07.2023;320,82;;320,82;;1,886B;11245744430,57
30.06.2023;321,21;;321,21;;1,888B;11260286572,69
29.06.2023;318,70;;318,70;;1,873B;11171458602,27
28.06.2023;317,01;;317,01;;1,863B;11117658288,81
27.06.2023;313,25;;313,25;;1,841B;10990960911,29
26.06.2023;315,25;;315,25;;1,854B;11064468021,96
22.06.2023;314,83;;314,83;;1,849B;11053977097,91
21.06.2023;317,59;;317,59;;1,865B;11147122510,25
20.06.2023;319,45;;319,45;;1,878B;11217100384,01
16.06.2023;322,80;;322,80;;1,898B;11340214135,08
15.06.2023;320,65;;320,65;;1,885B;11262139547,93
14.06.2023;322,72;;322,72;;1,898B;11334443938,67
13.06.2023;322,81;;322,81;;1,899B;11336675652,86
12.06.2023;320,17;;320,17;;1,866B;11226001600,68
09.06.2023;319,20;;319,20;;1,86B;11197137744,17
08.06.2023;317,06;;317,06;;1,848B;11126086719,78
07.06.2023;320,39;;320,39;;1,868B;11262798743,16
06.06.2023;320,12;;320,12;;1,865B;11244946584,34
05.06.2023;318,49;;318,49;;1,856B;11188607698,78
02.06.2023;315,74;;315,74;;1,841B;11098244433,06
01.06.2023;310,49;;310,49;;1,808B;10907572640,35
31.05.2023;312,05;;312,05;;1,817B;10989759300,64
30.05.2023;313,86;;313,86;;1,833B;11061493689,67
